Date,Temperature,Charge_Start,Charge_End,Daily_Cycles,Total_Cycles,SOH
2021-09-04,1.58823279253548,20,80,0.6443746458677881,0.6443746458677881,99.99062208906255
2021-09-05,5.164643371576139,20,80,0.8051951794077059,1.449569825275494,99.97896779489227
2021-09-06,12.304940471986047,20,80,0.5987385477177672,2.048308372993261,99.96919277342133
2021-09-07,3.7120744764239166,20,100,0.9627363080921032,3.011044681085364,99.95704039695491
2021-09-08,48.04379775269745,20,80,0.7561308522370409,3.767175533322405,99.94245083775336
2021-09-09,15.317737983195999,20,80,0.5388497593112063,4.306025292633612,99.93106134821956
2021-09-10,10.208277498391837,20,100,0.7433698312496664,5.0493951238832775,99.92044852209163
2021-09-11,6.19531267003071,20,80,0.9534715904302831,6.00286671431356,99.91174732781064
2021-09-12,5.925494103297448,20,80,0.7584469671894449,6.7613136815030055,99.90079306728846
2021-09-13,18.00277408306955,20,80,0.9061050788960596,7.667418760399065,99.88805527125581
2021-09-14,19.1983367811198,20,80,0.9441335705571811,8.611552330956247,99.87681539037153
2021-09-15,41.6809601999502,20,80,0.7371493575870955,9.348701688543343,99.86561463867835
2021-09-16,6.945101834122321,20,80,0.6661256239885214,10.014827312531864,99.85530762962378
2021-09-17,47.73031561873442,20,80,0.6975345933235739,10.712361905855438,99.83942111337998
2021-09-18,4.702471451003127,20,80,0.6870410584907806,11.39940296434622,99.82787845857389
2021-09-19,46.080573213208424,20,80,0.877842035959127,12.277245000305346,99.81310344454403
2021-09-20,8.038258499860678,20,100,0.5981964562167794,12.875441456522125,99.80147060318195
2021-09-21,5.966323313616835,20,100,0.9308765155046198,13.806317972026745,99.7929728748219
2021-09-22,-15.624104288096756,20,80,0.7426357425902648,14.54895371461701,99.78527637349751
2021-09-23,7.773812501690516,20,100,0.8314988176165872,15.380452532233598,99.7760823646463
2021-09-24,0.6067014337764021,20,80,0.9622437756845738,16.34269630791817,99.76531137572879
2021-09-25,6.253641849597731,20,100,0.8568027839365796,17.19949909185475,99.75499002669885
2021-09-26,8.7761021160077,20,80,0.8791042017418562,18.078603293596608,99.7460640315519
2021-09-27,3.4398813369952097,20,80,0.6425143946896078,18.721117688286217,99.73496711410316
2021-09-28,2.4055659868887425,20,80,0.5095336019476547,19.230651290233872,99.72598388627601
2021-09-29,13.782161108481596,20,80,0.5640921367141156,19.79474342694799,99.71317571655437
2021-09-30,0.6952911872956258,20,80,0.501029401039302,20.29577282798729,99.70401569796103
2021-10-01,47.407590518889,20,100,0.6769423395031482,20.97271516749044,99.68949721462091
2021-10-02,47.225299100283294,20,80,0.7660653976669534,21.73878056515739,99.67389775058449
2021-10-03,42.1731630838803,20,80,0.888933195316135,22.627713760473526,99.66051159664978
2021-10-04,1.0998703159399326,20,80,0.9417597401229083,23.569473500596434,99.65112274684257
2021-10-05,-18.957241637072926,20,80,0.7611131443422359,24.33058664493867,99.64300416678499
2021-10-06,5.390961982604841,20,80,0.9383599034617878,25.268946548400457,99.63096569780775
2021-10-07,7.941320295980394,20,80,0.8940997281395116,26.16304627653997,99.62081461476579
2021-10-08,6.753301595946867,20,80,0.7568566951862141,26.919902971726184,99.60824809215923
2021-10-09,8.200152863265153,20,80,0.5257101962060924,27.445613167932276,99.59659467946004
2021-10-10,16.8616703301088,20,100,0.9318390082228891,28.377452176155167,99.58436449740475
2021-10-11,8.332508064206872,20,100,0.7228152940626114,29.10026747021778,99.57254280670817
2021-10-12,4.309947142580571,20,100,0.7364165977300035,29.836684067947782,99.56175699492029
2021-10-13,3.3391145956143364,20,80,0.6816286184357854,30.518312686383567,99.55037834063155
2021-10-14,16.806392793714814,20,80,0.913464760088958,31.431777446472523,99.54054577693111
2021-10-15,19.117669991763634,20,80,0.8668668137230173,32.29864426019554,99.52828219488251
2021-10-16,6.261762721107735,20,80,0.5149102616159197,32.813554521811454,99.5163299728858
2021-10-17,-18.402259005386494,20,80,0.5498380785367811,33.363392600348234,99.50769040339641
2021-10-18,6.4974505528070114,20,100,0.9654591112450926,34.32885171159333,99.49789890194498
2021-10-19,6.6241929614240895,20,80,0.8788680857662323,35.207719797359566,99.48741524595997
2021-10-20,16.65772634760693,20,100,0.5815987865182258,35.789318583877794,99.47364843481363
2021-10-21,15.798970932300435,20,80,0.6802438210662698,36.469562404944064,99.46150579074273
2021-10-22,6.651093032692195,20,100,0.8827767867351939,37.352339191679256,99.45297799082192
2021-10-23,16.693777750957114,20,80,0.6046002397273738,37.95693943140663,99.4401481400987
2021-10-24,18.708924117212668,20,80,0.9284378325979408,38.885377264004575,99.42683291630999
2021-10-25,1.2504140089998717,20,80,0.6503632191598454,39.53574048316442,99.41579285224644
2021-10-26,13.62399227344233,20,80,0.5530845055428234,40.08882498870724,99.4051915253935
2021-10-27,2.461854170864426,20,80,0.6095953065449362,40.69842029525218,99.39490564005484
2021-10-28,9.565149860761139,20,80,0.7338509928761676,41.43227128812835,99.38507181745288
2021-10-29,18.978719695820814,20,80,0.953970362467587,42.386241650595935,99.37363407196192
2021-10-30,6.541898371750666,20,80,0.5932050737292983,42.979446724325236,99.36328469504123
2021-10-31,40.90024121166183,20,80,0.7953328573638971,43.77477958168913,99.34896816157747
2021-11-01,3.2083252427577125,20,80,0.6587763201734906,44.43355590186262,99.33787635038883
2021-11-02,16.78831816329432,20,80,0.9205041576448187,45.35406005950744,99.32633046383486
2021-11-03,-15.880059903328888,20,80,0.5228818768956097,45.87694193640305,99.31943983788352
2021-11-04,9.312951731512047,20,80,0.7509185788492907,46.62786051525234,99.309783534208
2021-11-05,2.0577486186831195,20,80,0.8022515372329244,47.43011205248526,99.2977870672461
2021-11-06,0.15782683958312838,20,80,0.5879063429450477,48.01801839543031,99.28961061361231
2021-11-07,9.47858145880614,20,80,0.8891844417950432,48.907202837225356,99.27698219787139
2021-11-08,7.224628783132512,20,80,0.8748972620815101,49.78210009930687,99.26421641525312
2021-11-09,19.345294999479332,20,80,0.568633329045236,50.3507334283521,99.25175941129895
2021-11-10,14.065268330230404,20,80,0.5842229253332001,50.9349563536853,99.23801177383251
2021-11-11,2.1169733508002464,20,80,0.7461219974366359,51.68107835112194,99.22875071960894
2021-11-12,8.994202719930604,20,80,0.7066445541519852,52.387722905273925,99.21659393634029
2021-11-13,2.304617712774737,20,80,0.9600690592292098,53.34779196450314,99.20475671391085
2021-11-14,18.237771912173223,20,80,0.8172476027735451,54.165039567276686,99.19367549933234
2021-11-15,18.727077763062653,20,100,0.6388603852829724,54.80389995255966,99.18354005271998
2021-11-16,6.349527506446664,20,80,0.9471512316380499,55.75105118419771,99.17340571545748
2021-11-17,9.125478318155473,20,100,0.9282242007459724,56.679275384943686,99.16179662423625
2021-11-18,2.3039356785720155,20,80,0.7264944920561164,57.405769876999805,99.15167751799297
2021-11-19,15.516386568223881,20,100,0.9335310219748347,58.33930089897464,99.14030982901338
2021-11-20,18.62490331531863,20,80,0.8329967353809455,59.17229763435559,99.1266254289399
2021-11-21,7.16816174073172,20,80,0.9263961316204925,60.09869376597608,99.11425537536974
2021-11-22,11.421681326740112,20,80,0.5367832911740338,60.63547705715011,99.10106738543485
2021-11-23,10.921859951459822,20,80,0.9104671110359408,61.545944168186054,99.09104846773093
2021-11-24,18.327792792051078,20,80,0.5533494382661529,62.09929360645221,99.08066965219567
2021-11-25,1.8766688919368613,20,80,0.6348631591590608,62.73415676561127,99.06978141443307
2021-11-26,3.0650707658022536,20,80,0.8708754194868404,63.60503218509811,99.05745218122644
2021-11-27,1.1456184971264438,20,80,0.9295886836131406,64.53462086871126,99.04541678425315
2021-11-28,0.06433028405183228,20,80,0.9394258427733426,65.4740467114846,99.03450043275096
2021-11-29,18.419223610767165,20,100,0.7350994053976824,66.20914611688228,99.02211826861715
2021-11-30,12.620260478989746,20,80,0.7337339252433145,66.9428800421256,99.00947862494823
2021-12-01,-3.4729984235125855,20,80,0.7861306614536784,67.72901070357928,98.99990350601871
2021-12-02,6.871021335638762,20,80,0.9157533706779291,68.64476407425721,98.9898424028222
2021-12-03,8.04287104076839,20,80,0.78499324254211,69.42975731679932,98.9808257209012
2021-12-04,5.9087206766172855,20,80,0.6999474241128074,70.12970474091213,98.97230071411724
2021-12-05,8.834935759942827,20,80,0.6736740973649444,70.80337883827707,98.96211850599803
2021-12-06,1.4532505527152662,20,80,0.9700769120955267,71.77345575037259,98.95032997313385
2021-12-07,8.374354998267904,20,80,0.6283979297378012,72.40185368011039,98.93778196258177
2021-12-08,-3.8747503889291135,20,80,0.9875013631653464,73.38935504327574,98.92794721666873
2021-12-09,-1.8089343916652094,20,80,0.5648218147398449,73.95417685801559,98.91697718927625
2021-12-10,3.1027577838729066,20,80,0.8436315801755235,74.79780843819111,98.90647023535804
2021-12-11,-4.459024976035617,20,80,0.5646067559597268,75.36241519415084,98.89521482257534
